brand,name,code,unique_code,description,notes
Boy Smells,Woodphoria,BW,BW,"Woodphoria is a state of mind where the surf sun meets the forest canopy, a new world of olfactive optimism, bursting with solar power. Sun-kissed notes of fig, coconut and jasmine petals play with the intoxicating textures of sandalwood, cedarwood and musks. Expect auras of deep relaxation and happiness.Discover your own state of Woodphoria, like you have never smelled before.","['coconut water', 'black pepper', 'cardamom', 'fig leaf', 'jasmine petals', 'lily of the valley', 'suede', 'ambroxan', 'sandalwood', 'cedarwood', 'salted musks']"
Olfactum,Bavard,OB,OB,"Bavard, which translates to talkative or loquacious in French, was initially a bespoke scent for a fellow niche fragrance enthusiast with a shared appreciation of bold aromatic throwbacks. This spicy aromatic fragrance is inspired by vintage classics of the 1980s - a time when confident youth wore excessive amounts of bold, daring, distinguished fragrances without apprehension. Whether you are into vintage or just feel like standing out from the crowd, Bavard is there for you.","['artemesia', 'basil', 'benzoin', 'bergamot', 'cardamom', 'caraway', 'cedarwood', 'cinnamon', 'coriander', 'cumin', 'cypress', 'fir balsam', 'heliotrope', 'juniper berry', 'labdanum', 'lavender', 'leather', 'mandarin', 'oakmoss', 'orris', 'patchouli', 'petitgrain', 'rosemary', 'sandalwood', 'tobacco', 'vanilla', 'vetiver', 'ylang ylang']"
Olfactum,Barbae,OB,OA,"Barbers, or tonsors, and the art of shaving, were all held in high regard during ancient times. When a young Roman man shaved his beard for the first time it was celebrated with a lavish feast as part of a religious ceremony, usually performed around the age of twenty-one. During this rite of passage, the cut beard was placed in an urn then subsequently offered to the god Jupiter. Our tribute to depositio barbae opens with sweet pineapple, apple, mint, petitgrain bigarade, mandarin and lemon, followed up with pine, silver fir, pink pepper and traditional fougere notes of bergamot, lavender, tonka bean and oakmoss - all comfortably resting on a base of ambergris, clean, metallic musks and a touch of sandalwood. Fresh and modern, yet timelessly reminiscent of the corner barber shop of days gone by.","['ambergris', 'apple', 'bergamot', 'california lemon', 'french lavender', 'italian mandarin', 'italian petitgrain bigarade', 'mint', 'musk', 'oakmoss', 'pineapple', 'pine resin', 'pink pepper', 'sandalwood', 'silver fir', 'tonka bean']"
Acqua di Parma,Acqua di Parma Colonia,AA,AA,Starts off with a snappy citrus bite then dries down into a more mellow lemony odor with a slight floral undertone.,"['sicilian citrus fruit', 'lavender', 'rosemary', 'verbena', 'damask rose', 'vetiver', 'sandalwood', 'patchouli']"
Acqua di Parma,Zafferano,AZ,AZ,"Zafferano ­ a quality of saffron cultivated in Iran ­ is more endearingly known as ‘red gold’ due to the arduous harvesting process that’s carried out to acquire it. Acqua di Parma takes this much-loved spice to the next level in the form of this eau de parfum, interjecting the warmth and dryness with luminous citrus. It doesn’t stop there, however; before it settles, expect to meet gentle white florals and a woody, vanilla-tinted base ­ notes that blend together to result in an unforgettable interpretation of saffron.","['bergamot', 'mandarin', 'coriander seeds', 'bitter orange', 'jasmine sambac', 'geranium', 'rose', 'saffron', 'orange blossom', 'tonka bean', 'woods', 'vanilla']"
Amouage,Opus VI,AO,AO,"an amber, leather and woody fragrance inspired by the destruction and reinvention of knowledge and memories. Symbolising the end of a love affair, eternity is represented as broken memories in the design of the box.","['sichuan pepper', 'frankincense', 'st. thomas bay', 'periploca', 'cypriol', 'patchouli', 'ambranum', 'sandalwood', 'citrus notes']"
Bulgari,Black,BB,BB,"A woody, smoky fragrance. The bottle is rounded and designed to fit the hand. A combination of metal, glass and rubber. Like most of the Bulgari fragrances, it contains a tea note.","['lapsang souchong tea', 'bergamot', 'jasmine', 'cedar', 'sandalwood', 'leather', 'amber', 'musk', 'vanilla']"
Bulgari,Bulgari pour Homme,BB,BU,The man's musk! Sparkling citrus notes merge with tea notes into a musky skin scent that lasts and lasts. A very intimate fragrance.,"['bergamot', 'orange blossom', 'blackcurrant flower', 'darjeeling tea', 'water lily', 'muguet', 'cardamom', 'rose wood', 'pepper', 'red iris', 'guaiac wood', 'transparent amber and musk']"
Calvin Klein,Obsession,CO,CO,"On the launch of this perfume, Calvin Klein said: ""I didn't want an old-fashioned recipe, I wanted something direct, sensuous and provocative, which represents the way I feel about women.""","['lemon', 'mandarin', 'bergamot', 'peach', 'jasmine', 'rose', 'orange blossom', 'rosewood', 'coriander', 'marigold', 'armoise', 'ylang ylang', 'cedar', 'sandalwood', 'amber', 'oakmoss', 'vanilla', 'musk', 'civet']"
Calvin Klein,Eternity,CE,CE,"Eternity was inspired Calvin's marriage to Kelly Rector. Calvin gave Kelly a beautiful antique ring inscribed with the word, 'eternity'.Eternity is a floral scent.","['freesia', 'mandarin', 'sage', 'muguet', 'white lily', 'marigold', 'narcisse', 'patchouli', 'sandawood', 'amber']"
