2025-09-07T13:39:50Z	qdrant_ingest	prompt=0	completion=0	embed=37902	total_added=37902
2025-09-07T16:38:36Z	qdrant_search	prompt=0	completion=0	embed=33	total_added=33
2025-09-07T16:45:16Z	qdrant_search	prompt=0	completion=0	embed=32	total_added=32
2025-09-07T16:46:31Z	qdrant_search	prompt=0	completion=0	embed=32	total_added=32
2025-09-07T16:47:53Z	qdrant_search	prompt=0	completion=0	embed=25	total_added=25
2025-09-07T16:59:20Z	qdrant_search	prompt=0	completion=0	embed=27	total_added=27
2025-09-07T17:03:24Z	qdrant_search	prompt=0	completion=0	embed=35	total_added=35
2025-09-07T17:03:25Z	embed	prompt=0	completion=0	embed=156	total_added=156
2025-09-07T17:03:28Z	qdrant_search	prompt=0	completion=0	embed=35	total_added=35
2025-09-07T17:03:29Z	embed	prompt=0	completion=0	embed=181	total_added=181
2025-09-07T17:14:03Z	qdrant_search	prompt=0	completion=0	embed=32	total_added=32
2025-09-07T17:14:04Z	embed	prompt=0	completion=0	embed=73	total_added=73
2025-09-07T17:14:07Z	qdrant_search	prompt=0	completion=0	embed=31	total_added=31
2025-09-07T17:14:08Z	embed	prompt=0	completion=0	embed=73	total_added=73
2025-09-07T17:17:30Z	qdrant_search	prompt=0	completion=0	embed=36	total_added=36
2025-09-07T17:17:30Z	embed	prompt=0	completion=0	embed=210	total_added=210
2025-09-07T17:17:35Z	qdrant_search	prompt=0	completion=0	embed=36	total_added=36
2025-09-07T17:17:35Z	embed	prompt=0	completion=0	embed=205	total_added=205
2025-09-07T17:21:19Z	qdrant_search	prompt=0	completion=0	embed=33	total_added=33
2025-09-07T17:21:20Z	embed	prompt=0	completion=0	embed=140	total_added=140
2025-09-07T17:21:24Z	qdrant_search	prompt=0	completion=0	embed=33	total_added=33
2025-09-07T17:21:25Z	embed	prompt=0	completion=0	embed=141	total_added=141
2025-09-13T18:57:17Z	qdrant_search	prompt=0	completion=0	embed=31	total_added=31
2025-09-13T18:57:18Z	embed	prompt=0	completion=0	embed=73	total_added=73
2025-09-13T18:57:23Z	qdrant_search	prompt=0	completion=0	embed=31	total_added=31
2025-09-13T18:57:24Z	embed	prompt=0	completion=0	embed=73	total_added=73
2025-09-25T23:58:57Z	chat	prompt=98	completion=48	embed=0	total_added=146
2025-09-25T23:58:58Z	embed	prompt=0	completion=0	embed=145	total_added=145
2025-09-25T23:58:59Z	chat	prompt=221	completion=69	embed=0	total_added=290
2025-09-25T23:59:01Z	chat	prompt=104	completion=48	embed=0	total_added=152
2025-09-25T23:59:01Z	embed	prompt=0	completion=0	embed=160	total_added=160
2025-09-25T23:59:03Z	chat	prompt=237	completion=61	embed=0	total_added=298
2025-09-25T23:59:04Z	chat	prompt=89	completion=51	embed=0	total_added=140
2025-09-25T23:59:05Z	embed	prompt=0	completion=0	embed=141	total_added=141
2025-09-25T23:59:07Z	chat	prompt=223	completion=85	embed=0	total_added=308
2025-09-25T23:59:08Z	chat	prompt=103	completion=46	embed=0	total_added=149
2025-09-25T23:59:09Z	embed	prompt=0	completion=0	embed=128	total_added=128
2025-09-25T23:59:11Z	chat	prompt=206	completion=78	embed=0	total_added=284
2025-09-25T23:59:12Z	chat	prompt=101	completion=49	embed=0	total_added=150
2025-09-25T23:59:14Z	embed	prompt=0	completion=0	embed=148	total_added=148
2025-09-25T23:59:16Z	chat	prompt=232	completion=82	embed=0	total_added=314
2025-09-25T23:59:17Z	chat	prompt=103	completion=48	embed=0	total_added=151
2025-09-25T23:59:18Z	embed	prompt=0	completion=0	embed=141	total_added=141
2025-09-25T23:59:19Z	chat	prompt=221	completion=73	embed=0	total_added=294
2025-09-25T23:59:21Z	chat	prompt=101	completion=53	embed=0	total_added=154
2025-09-25T23:59:22Z	embed	prompt=0	completion=0	embed=150	total_added=150
2025-09-25T23:59:23Z	chat	prompt=225	completion=71	embed=0	total_added=296
2025-09-25T23:59:25Z	chat	prompt=106	completion=49	embed=0	total_added=155
2025-09-25T23:59:25Z	embed	prompt=0	completion=0	embed=149	total_added=149
2025-09-25T23:59:27Z	chat	prompt=234	completion=65	embed=0	total_added=299
2025-09-25T23:59:28Z	chat	prompt=109	completion=48	embed=0	total_added=157
2025-09-25T23:59:29Z	embed	prompt=0	completion=0	embed=155	total_added=155
2025-09-25T23:59:31Z	chat	prompt=246	completion=74	embed=0	total_added=320
2025-09-25T23:59:33Z	chat	prompt=96	completion=49	embed=0	total_added=145
2025-09-25T23:59:34Z	embed	prompt=0	completion=0	embed=147	total_added=147
2025-09-25T23:59:35Z	chat	prompt=223	completion=68	embed=0	total_added=291
2025-09-25T23:59:36Z	chat	prompt=94	completion=50	embed=0	total_added=144
2025-09-25T23:59:37Z	embed	prompt=0	completion=0	embed=159	total_added=159
2025-09-25T23:59:39Z	chat	prompt=240	completion=68	embed=0	total_added=308
2025-09-25T23:59:40Z	chat	prompt=103	completion=47	embed=0	total_added=150
2025-09-25T23:59:41Z	embed	prompt=0	completion=0	embed=130	total_added=130
2025-09-25T23:59:43Z	chat	prompt=208	completion=73	embed=0	total_added=281
2025-09-25T23:59:44Z	chat	prompt=90	completion=47	embed=0	total_added=137
2025-09-25T23:59:45Z	embed	prompt=0	completion=0	embed=141	total_added=141
2025-09-25T23:59:46Z	chat	prompt=210	completion=63	embed=0	total_added=273
2025-09-25T23:59:47Z	chat	prompt=109	completion=54	embed=0	total_added=163
2025-09-25T23:59:48Z	embed	prompt=0	completion=0	embed=151	total_added=151
2025-09-25T23:59:50Z	chat	prompt=223	completion=80	embed=0	total_added=303
2025-09-25T23:59:52Z	chat	prompt=96	completion=47	embed=0	total_added=143
2025-09-25T23:59:52Z	embed	prompt=0	completion=0	embed=145	total_added=145
2025-09-25T23:59:54Z	chat	prompt=226	completion=80	embed=0	total_added=306
2025-09-25T23:59:56Z	chat	prompt=96	completion=56	embed=0	total_added=152
2025-09-25T23:59:56Z	embed	prompt=0	completion=0	embed=147	total_added=147
2025-09-25T23:59:58Z	chat	prompt=225	completion=71	embed=0	total_added=296
2025-09-26T00:00:00Z	chat	prompt=99	completion=48	embed=0	total_added=147
2025-09-26T00:00:01Z	embed	prompt=0	completion=0	embed=139	total_added=139
2025-09-26T00:00:03Z	chat	prompt=225	completion=72	embed=0	total_added=297
2025-09-26T00:00:05Z	chat	prompt=104	completion=50	embed=0	total_added=154
2025-09-26T00:00:05Z	embed	prompt=0	completion=0	embed=156	total_added=156
2025-09-26T00:00:07Z	chat	prompt=230	completion=68	embed=0	total_added=298
2025-09-26T00:00:08Z	chat	prompt=94	completion=53	embed=0	total_added=147
2025-09-26T00:00:09Z	embed	prompt=0	completion=0	embed=128	total_added=128
2025-09-26T00:00:11Z	chat	prompt=210	completion=66	embed=0	total_added=276
2025-09-26T00:00:12Z	chat	prompt=102	completion=49	embed=0	total_added=151
2025-09-26T00:00:13Z	embed	prompt=0	completion=0	embed=164	total_added=164
2025-09-26T00:00:15Z	chat	prompt=241	completion=72	embed=0	total_added=313
2025-09-26T00:00:16Z	chat	prompt=89	completion=49	embed=0	total_added=138
2025-09-26T00:00:18Z	embed	prompt=0	completion=0	embed=134	total_added=134
2025-09-26T00:00:20Z	chat	prompt=211	completion=76	embed=0	total_added=287
2025-09-26T00:00:21Z	chat	prompt=119	completion=49	embed=0	total_added=168
2025-09-26T00:00:22Z	embed	prompt=0	completion=0	embed=136	total_added=136
2025-09-26T00:00:24Z	chat	prompt=228	completion=66	embed=0	total_added=294
2025-09-26T00:00:26Z	chat	prompt=107	completion=51	embed=0	total_added=158
2025-09-26T00:00:27Z	embed	prompt=0	completion=0	embed=160	total_added=160
2025-09-26T00:00:28Z	chat	prompt=244	completion=73	embed=0	total_added=317
2025-09-26T00:00:30Z	chat	prompt=101	completion=52	embed=0	total_added=153
2025-09-26T00:00:31Z	embed	prompt=0	completion=0	embed=142	total_added=142
2025-09-26T00:00:33Z	chat	prompt=223	completion=86	embed=0	total_added=309
2025-09-26T00:00:35Z	chat	prompt=104	completion=48	embed=0	total_added=152
2025-09-26T00:00:35Z	embed	prompt=0	completion=0	embed=134	total_added=134
2025-09-26T00:00:37Z	chat	prompt=219	completion=75	embed=0	total_added=294
2025-09-26T00:00:38Z	chat	prompt=104	completion=54	embed=0	total_added=158
2025-09-26T00:00:39Z	embed	prompt=0	completion=0	embed=151	total_added=151
2025-09-26T00:00:41Z	chat	prompt=232	completion=77	embed=0	total_added=309
2025-09-26T00:00:43Z	chat	prompt=130	completion=53	embed=0	total_added=183
2025-09-26T00:00:44Z	embed	prompt=0	completion=0	embed=159	total_added=159
2025-09-26T00:00:45Z	chat	prompt=238	completion=75	embed=0	total_added=313
2025-09-26T00:00:47Z	chat	prompt=100	completion=45	embed=0	total_added=145
2025-09-26T00:00:47Z	embed	prompt=0	completion=0	embed=158	total_added=158
2025-09-26T00:00:49Z	chat	prompt=245	completion=75	embed=0	total_added=320
2025-09-26T00:00:50Z	chat	prompt=99	completion=61	embed=0	total_added=160
2025-09-26T00:00:51Z	embed	prompt=0	completion=0	embed=155	total_added=155
2025-09-26T00:00:53Z	chat	prompt=226	completion=69	embed=0	total_added=295
2025-09-26T00:00:54Z	chat	prompt=100	completion=48	embed=0	total_added=148
2025-09-26T00:00:55Z	embed	prompt=0	completion=0	embed=156	total_added=156
2025-09-26T00:00:57Z	chat	prompt=231	completion=85	embed=0	total_added=316
2025-09-26T00:00:58Z	chat	prompt=118	completion=46	embed=0	total_added=164
2025-09-26T00:00:59Z	embed	prompt=0	completion=0	embed=158	total_added=158
2025-09-26T00:01:00Z	chat	prompt=230	completion=81	embed=0	total_added=311
2025-09-26T00:01:02Z	chat	prompt=100	completion=51	embed=0	total_added=151
2025-09-26T00:01:03Z	embed	prompt=0	completion=0	embed=140	total_added=140
2025-09-26T00:01:04Z	chat	prompt=224	completion=70	embed=0	total_added=294
2025-09-26T00:01:06Z	chat	prompt=98	completion=51	embed=0	total_added=149
2025-09-26T00:01:06Z	embed	prompt=0	completion=0	embed=153	total_added=153
2025-09-26T00:01:08Z	chat	prompt=229	completion=69	embed=0	total_added=298
2025-09-26T00:01:09Z	chat	prompt=111	completion=53	embed=0	total_added=164
2025-09-26T00:01:10Z	embed	prompt=0	completion=0	embed=141	total_added=141
2025-09-26T00:01:12Z	chat	prompt=218	completion=68	embed=0	total_added=286
2025-09-26T00:01:13Z	chat	prompt=117	completion=48	embed=0	total_added=165
2025-09-26T00:01:14Z	embed	prompt=0	completion=0	embed=140	total_added=140
2025-09-26T00:01:16Z	chat	prompt=226	completion=71	embed=0	total_added=297
2025-09-26T00:01:17Z	chat	prompt=99	completion=51	embed=0	total_added=150
2025-09-26T00:01:18Z	embed	prompt=0	completion=0	embed=138	total_added=138
2025-09-26T00:01:19Z	chat	prompt=219	completion=64	embed=0	total_added=283
2025-09-26T00:01:20Z	chat	prompt=124	completion=48	embed=0	total_added=172
2025-09-26T00:01:24Z	embed	prompt=0	completion=0	embed=159	total_added=159
2025-09-26T00:01:26Z	chat	prompt=233	completion=66	embed=0	total_added=299
2025-09-26T00:01:27Z	chat	prompt=108	completion=48	embed=0	total_added=156
2025-09-26T00:01:28Z	embed	prompt=0	completion=0	embed=139	total_added=139
2025-09-26T00:01:29Z	chat	prompt=218	completion=74	embed=0	total_added=292
2025-09-26T00:01:31Z	chat	prompt=101	completion=49	embed=0	total_added=150
2025-09-26T00:01:32Z	embed	prompt=0	completion=0	embed=151	total_added=151
2025-09-26T00:01:33Z	chat	prompt=227	completion=65	embed=0	total_added=292
2025-09-26T00:01:35Z	chat	prompt=87	completion=48	embed=0	total_added=135
2025-09-26T00:01:35Z	embed	prompt=0	completion=0	embed=148	total_added=148
2025-09-26T00:01:37Z	chat	prompt=226	completion=83	embed=0	total_added=309
2025-09-26T00:01:39Z	chat	prompt=96	completion=50	embed=0	total_added=146
2025-09-26T00:01:39Z	embed	prompt=0	completion=0	embed=137	total_added=137
2025-09-26T00:01:41Z	chat	prompt=220	completion=69	embed=0	total_added=289
2025-09-26T00:01:43Z	chat	prompt=107	completion=50	embed=0	total_added=157
2025-09-26T00:01:43Z	embed	prompt=0	completion=0	embed=130	total_added=130
2025-09-26T00:01:45Z	chat	prompt=218	completion=77	embed=0	total_added=295
2025-09-26T00:01:46Z	chat	prompt=94	completion=48	embed=0	total_added=142
2025-09-26T00:01:47Z	embed	prompt=0	completion=0	embed=146	total_added=146
2025-09-26T00:01:49Z	chat	prompt=225	completion=80	embed=0	total_added=305
2025-09-26T00:01:50Z	chat	prompt=97	completion=46	embed=0	total_added=143
2025-09-26T00:01:51Z	embed	prompt=0	completion=0	embed=147	total_added=147
2025-09-26T00:01:57Z	chat	prompt=234	completion=73	embed=0	total_added=307
2025-09-26T00:01:59Z	chat	prompt=108	completion=45	embed=0	total_added=153
2025-09-26T00:01:59Z	embed	prompt=0	completion=0	embed=128	total_added=128
2025-09-26T00:02:01Z	chat	prompt=203	completion=73	embed=0	total_added=276
2025-09-26T00:02:03Z	chat	prompt=102	completion=51	embed=0	total_added=153
2025-09-26T00:02:03Z	embed	prompt=0	completion=0	embed=158	total_added=158
2025-09-26T00:02:05Z	chat	prompt=234	completion=71	embed=0	total_added=305
2025-09-26T00:02:06Z	chat	prompt=104	completion=52	embed=0	total_added=156
2025-09-26T00:02:07Z	embed	prompt=0	completion=0	embed=147	total_added=147
2025-09-26T00:02:09Z	chat	prompt=233	completion=84	embed=0	total_added=317
2025-09-26T00:02:11Z	chat	prompt=103	completion=50	embed=0	total_added=153
2025-09-26T00:02:12Z	embed	prompt=0	completion=0	embed=108	total_added=108
2025-09-26T00:02:13Z	chat	prompt=193	completion=90	embed=0	total_added=283
2025-09-26T00:02:15Z	chat	prompt=130	completion=51	embed=0	total_added=181
2025-09-26T00:02:15Z	embed	prompt=0	completion=0	embed=159	total_added=159
2025-09-26T00:02:18Z	chat	prompt=238	completion=72	embed=0	total_added=310
2025-09-26T00:02:19Z	chat	prompt=103	completion=49	embed=0	total_added=152
2025-09-26T00:02:20Z	embed	prompt=0	completion=0	embed=159	total_added=159
2025-09-26T00:02:21Z	chat	prompt=235	completion=71	embed=0	total_added=306
2025-09-26T00:02:22Z	chat	prompt=88	completion=49	embed=0	total_added=137
2025-09-26T00:02:23Z	embed	prompt=0	completion=0	embed=146	total_added=146
2025-09-26T00:02:25Z	chat	prompt=228	completion=78	embed=0	total_added=306
